iter	Passed	Remaining
502	1916	1893
503	1919	1889
504	1922	1884
505	1925	1879
506	1928	1874
507	1933	1872
508	1935	1867
509	1938	1862
510	1941	1858
511	1944	1853
512	1948	1849
513	1951	1845
514	1955	1841
515	1958	1837
516	1962	1833
517	1966	1829
518	1969	1825
519	1973	1821
520	1976	1817
521	1980	1813
522	1983	1808
523	1986	1804
524	1989	1799
525	1992	1795
526	1995	1790
527	1998	1786
528	2001	1782
529	2004	1778
530	2008	1773
531	2012	1770
532	2015	1765
533	2018	1761
534	2020	1756
535	2022	1751
536	2025	1746
537	2028	1742
538	2030	1736
539	2033	1732
540	2035	1727
541	2038	1722
542	2040	1717
543	2044	1713
544	2047	1709
545	2050	1704
546	2053	1700
547	2056	1696
548	2060	1692
549	2062	1687
550	2065	1683
551	2068	1678
552	2071	1674
553	2074	1670
554	2078	1666
555	2080	1661
556	2083	1657
557	2086	1652
558	2088	1647
559	2092	1643
560	2095	1639
561	2098	1635
562	2100	1630
563	2103	1626
564	2107	1622
565	2110	1618
566	2113	1613
567	2114	1608
568	2117	1603
569	2120	1599
570	2123	1595
571	2126	1591
572	2129	1587
573	2132	1583
574	2135	1578
575	2138	1574
576	2141	1570
577	2144	1565
578	2147	1561
579	2150	1557
580	2153	1552
581	2156	1549
582	2159	1544
583	2163	1540
584	2166	1536
585	2169	1532
586	2173	1528
587	2175	1524
588	2179	1520
589	2182	1516
590	2187	1513
591	2191	1510
592	2195	1506
593	2198	1502
594	2201	1498
595	2205	1494
596	2208	1490
597	2211	1486
598	2214	1482
599	2217	1478
600	2220	1474
601	2223	1469
602	2226	1465
603	2229	1461
604	2231	1457
605	2235	1453
606	2238	1449
607	2241	1444
608	2244	1440
609	2247	1436
610	2250	1433
611	2254	1429
612	2257	1425
613	2261	1421
614	2265	1418
615	2268	1414
616	2272	1410
617	2275	1406
618	2280	1403
619	2284	1400
620	2288	1396
621	2292	1393
622	2297	1390
623	2301	1386
624	2304	1382
625	2308	1379
626	2312	1375
627	2316	1372
628	2320	1368
629	2323	1364
630	2327	1361
631	2331	1357
632	2334	1353
633	2337	1349
634	2340	1345
635	2344	1341
636	2347	1337
637	2350	1333
638	2354	1330
639	2357	1326
640	2360	1322
641	2363	1318
642	2366	1313
643	2369	1309
644	2372	1305
645	2375	1301
646	2378	1297
647	2381	1293
648	2385	1289
649	2388	1286
650	2392	1282
651	2395	1278
652	2397	1274
653	2400	1269
654	2403	1265
655	2405	1261
656	2409	1258
657	2413	1254
658	2416	1250
659	2420	1246
660	2423	1242
661	2426	1239
662	2430	1235
663	2432	1231
664	2435	1226
665	2438	1222
666	2442	1219
667	2445	1215
668	2449	1211
669	2452	1207
670	2456	1204
671	2459	1200
672	2462	1196
673	2466	1192
674	2469	1188
675	2473	1185
676	2476	1181
677	2479	1177
678	2483	1173
679	2486	1170
680	2489	1166
681	2492	1162
682	2495	1158
683	2499	1154
684	2502	1150
685	2505	1147
686	2509	1143
687	2512	1139
688	2515	1135
689	2518	1131
690	2521	1127
691	2525	1123
692	2528	1119
693	2531	1116
694	2534	1112
695	2538	1108
696	2541	1104
697	2544	1100
698	2547	1097
699	2551	1093
700	2554	1089
701	2557	1085
702	2562	1082
703	2568	1079
704	2573	1076
705	2576	1072
706	2580	1069
707	2583	1065
708	2586	1061
709	2589	1057
710	2592	1053
711	2595	1049
712	2598	1046
713	2602	1042
714	2605	1038
715	2608	1034
716	2610	1030
717	2613	1026
718	2616	1022
719	2618	1018
720	2621	1014
721	2624	1010
722	2627	1006
723	2631	1003
724	2633	999
725	2636	995
726	2639	991
727	2642	987
728	2644	983
729	2648	979
730	2651	975
731	2654	971
732	2657	967
733	2660	964
734	2663	960
735	2666	956
736	2669	952
737	2672	948
738	2675	944
739	2678	941
740	2681	937
741	2684	933
742	2687	929
743	2690	925
744	2694	922
745	2697	918
746	2700	914
747	2703	910
748	2706	907
749	2710	903
750	2713	899
751	2716	895
752	2719	891
753	2722	888
754	2725	884
755	2728	880
756	2731	876
757	2734	873
758	2737	869
759	2740	865
760	2743	861
761	2746	857
762	2749	854
763	2752	850
764	2755	846
765	2759	842
766	2762	839
767	2765	835
768	2768	831
769	2771	827
770	2775	824
771	2777	820
772	2780	816
773	2783	812
774	2786	808
775	2789	805
776	2792	801
777	2795	797
778	2798	793
779	2801	790
780	2804	786
781	2808	782
782	2811	779
783	2813	775
784	2816	771
785	2819	767
786	2822	764
787	2826	760
788	2828	756
789	2831	752
790	2834	749
791	2838	745
792	2841	741
793	2844	737
794	2847	734
795	2851	730
796	2854	727
797	2857	723
798	2861	719
799	2863	715
800	2867	712
801	2871	709
802	2875	705
803	2879	701
804	2882	698
805	2886	694
806	2890	691
807	2893	687
808	2896	683
809	2899	680
810	2903	676
811	2906	673
812	2910	669
813	2913	665
814	2917	662
815	2920	658
816	2923	654
817	2926	651
818	2928	647
819	2931	643
820	2935	640
821	2940	636
822	2945	633
823	2949	630
824	2953	626
825	2957	622
826	2960	619
827	2963	615
828	2967	612
829	2970	608
830	2974	604
831	2977	601
832	2981	597
833	2984	594
834	2988	590
835	2991	586
836	2994	583
837	2998	579
838	3001	576
839	3005	572
840	3008	568
841	3012	565
842	3015	561
843	3018	557
844	3022	554
845	3025	550
846	3028	547
847	3031	543
848	3034	539
849	3038	536
850	3041	532
851	3044	528
852	3048	525
853	3051	521
854	3054	518
855	3058	514
856	3061	510
857	3065	507
858	3068	503
859	3072	500
860	3075	496
861	3078	492
862	3080	489
863	3083	485
864	3086	481
865	3088	477
866	3092	474
867	3094	470
868	3098	467
869	3101	463
870	3103	459
871	3106	456
872	3109	452
873	3113	448
874	3116	445
875	3120	441
876	3123	438
877	3126	434
878	3130	430
879	3133	427
880	3136	423
881	3139	419
882	3141	416
883	3144	412
884	3148	409
885	3150	405
886	3154	401
887	3157	398
888	3159	394
889	3163	390
890	3166	387
891	3169	383
892	3172	380
893	3175	376
894	3179	372
895	3182	369
896	3185	365
897	3188	362
898	3191	358
899	3195	355
900	3198	351
901	3201	347
902	3205	344
903	3208	340
904	3211	337
905	3214	333
906	3217	329
907	3221	326
908	3224	322
909	3228	319
910	3231	315
911	3236	312
912	3239	308
913	3242	305
914	3246	301
915	3250	298
916	3254	294
917	3258	291
918	3261	287
919	3265	283
920	3269	280
921	3272	276
922	3276	273
923	3279	269
924	3282	266
925	3285	262
926	3287	258
927	3290	255
928	3293	251
929	3295	248
930	3299	244
931	3302	240
932	3307	237
933	3311	233
934	3316	230
935	3321	227
936	3324	223
937	3327	219
938	3332	216
939	3335	212
940	3339	209
941	3343	205
942	3347	202
943	3350	198
944	3354	195
945	3357	191
946	3361	188
947	3364	184
948	3367	180
949	3371	177
950	3374	173
951	3378	170
952	3382	166
953	3385	163
954	3389	159
955	3392	156
956	3396	152
957	3398	149
958	3401	145
959	3404	141
960	3407	138
961	3410	134
962	3413	131
963	3416	127
964	3419	124
965	3422	120
966	3425	116
967	3428	113
968	3431	109
969	3434	106
970	3437	102
971	3439	99
972	3443	95
973	3445	91
974	3448	88
975	3451	84
976	3454	81
977	3457	77
978	3460	74
979	3463	70
980	3466	67
981	3469	63
982	3472	60
983	3475	56
984	3478	52
985	3480	49
986	3483	45
987	3486	42
988	3489	38
989	3492	35
990	3495	31
991	3498	28
992	3501	24
993	3504	21
994	3507	17
995	3510	14
996	3513	10
997	3515	7
998	3518	3
999	3522	0
